error_connection;
url;typeerreur
url;
musee-ceramique.puy-de-dome.fr/le-musee.html;
http://beaux-arts.dijon.fr/;
http://archeologie.dijon.fr/;
http://www.ville-vierzon.fr/musee.html;
http://archeochampagne.epernay.fr/;
Je sais pas c’est quelle musée;
http://maam.angouleme.fr/musee-du-papier/;
http://museedunouveaumonde.larochelle.fr/;
http://musees.marseille.fr/musee-cantini-0;
http://inguimbertine.carpentras.fr/;
http://musees.le-gresivaudan.fr/musee-dallevard-2/;
https://tourisme.paysvoironnais.com/patrimoine-culturel/musee-mainssieux-voiron/;
http://musee.ville-boulogne-sur-mer.fr/;
http://museum.larochelle.fr/;
http://musees.isere.fr/musee/musee-champollion;
https://www.museesgrandest.org/les-musees/musee-paysan/;
https://musees.allier.fr/410-presentation.htm;
http://musee-breton.finistere.fr/fr/;
http://www.haute-corse.fr/site/index.php?page=musee-pascal-paoli;
http://albert-kahn.hauts-de-seine.fr/;
http://museedebry.fr/#/page-musee/fr;
http://musee.metzmetropole.fr/;
http://pba.lille.fr/;
http://www.villefranchederouergue.fr/spip.php?rubrique75;
http://patrimoine.chateaugontier.fr/;
https://musee-lombart.jimdosite.com/;
http://musees.marseille.fr/cabinet-des-monnaies-et-medailles;
http://musees.isere.fr/musee/musee-de-la-resistance-et-de-la-deportation-de-lisere;
http://musees.belfort.fr;
http://www.museeguimet.fr;
http://musees.marseille.fr/museum-dhistoire-naturelle-mhnm-0;
http://musees.aurillac.fr/;
http://museum.nantesmetropole.fr/;
http://museum.var.fr/ws/home/app/collection/expo;
http://musees.ouestrhodanien.fr/ecomusee-du-haut-beaujolais-musee-ecomusee.html;
http://cap.agglo-tulle.fr/;
http://museedugrandsiecle.hauts-de-seine.fr;
https://musee.ville-pontlabbe.bzh/;
https://mba.rennes.fr/;
https://musee.lorient.bzh/;
http://www.musee-mallarme.fr/fr;
http://museefabre.montpellier3m.fr/;
https://www.chateauluneville.meurthe-et-moselle.fr/;
http://www.museeportuaire.com/;
http://valenciennesmusee.valenciennes.fr/;
http://bergues-musee.fr/;
http://musees.angers.fr/les-lieux/musee-pince/index.html;
http://maam.angouleme.fr/musee-du-papier/;
http://museedesmerveilles.departement06.fr/musee-des-merveilles-13336.html;
http://musees.marseille.fr/musee-darts-africains-oceaniens-amerindiens-maaoa;
http://musee.paullafran.free.fr/;
http://www.petit-palais.org/;
http://musees.isere.fr/musee/musee-archeologique-saint-laurent;
http://musees.marseille.fr/chateau-borely-musee-des-arts-decoratifs-de-la-faience-et-de-la-mode;
http://musees.marseille.fr/musee-des-docks-romains-0;
http://musees.marseille.fr/musee-dhistoire-de-marseille-mhm;
https://www.academie.sup.fr/n (???);
http://musees.marseille.fr/musee-dart-contemporain-mac;
http://musees.ouestrhodanien.fr/musee-barthelemy-thimonnier.html;
http://musee-site.rhone.fr/;
http://musees.isere.fr/musee/domaine-de-vizille-musee-de-la-revolution-francaise;
http://vie-bourguignonne.dijon.fr/;
http://culture.nevers.fr/musee/;
http://rochedesolutre.com/musee-de-prehistoire/;
https://musee.bastia.corsica/;
http://musees.haute-saone.fr/chateau-lambert/;
http://musees.belfort.fr/musee-s-961.html;
http://musees.ville-poissy.fr/fr/histoire-de-la-collection;
https://musee-des-beaux-arts.nancy.fr/accueil;
https://www.chateaudemauvezin.fr/;
https://mhc.lille.fr/;
https://mba.caen.fr/;
http://musee-de-normandie.caen.fr/;
https://www.musenor.com/musees/musee-raymond-pillon-chaumont-en-vexin;
https://www.musenor.com/musees/musee-boucher-de-perthes-abbeville;
https://thouars.fr/ville-dhistoire/patrimoine-et-musee/musee-henri-barre/;
https://musees.isere.fr/musee/musee-hebert;
http://musees.marseille.fr/musee-darcheologie-mediterraneenne-mam;
http://musees.isere.fr/musee/musee-dauphinois;
http://www.museeduchapeau.com/;
http://parc-explor.com/;
http://musee-dentelle.caudry.fr/fr/le-musee-et-ses-collections/presentation-du-musee.html;
http://www.museegeorgesand.fr;
http://www.haute-corse.fr/site/index.php?page=musee-archeologie-aleria;
http://www.corsedusud.fr/nos-competences/patrimoine-et-culture/musee-departemental-de-laltarocca/;
http://domaine-de-sceaux.hauts-de-seine.fr/;
http://musee.meudon.fr/;
https://musees.tarn.fr/accueil;
http://musees.lot.fr/ecomus%C3%A9e-de-cuzals;
http://museedesbeauxarts.larochelle.fr/;
http://collections-musee.hautes-alpes.fr/;
http://musees.isere.fr/musee/musee-hector-berlioz;
http://maa.departement06.fr/musee-des-arts-asiatiques-13422.html;
http://musees.marseille.fr/musee-des-beaux-arts-mba;
https://www.musees.marseille.fr/musee-grobet-labadie-mgl-0;
http://culture.dracenie.com/musee-des-arts-et-traditions-populaires/;
http://www.hieres-sur-amby.org/index.php?menu=2&ssmenu=51&type=4;
http://mhn.lille.fr/;
